file,N,perturbation,mean_F_A,mean_F_B,mean_F_C,mean_F_D,mean_F_A_socratic,mean_F_B_socratic,mean_F_C_socratic,mean_F_D_socratic,mean_F_E_socratic,n_socratic,mean_F_A_validation,mean_F_B_validation,mean_F_C_validation,mean_F_D_validation,mean_F_E_validation,n_validation,mean_F_A_alternative,mean_F_B_alternative,mean_F_C_alternative,mean_F_D_alternative,mean_F_E_alternative,n_alternative
cbt_mcot_transcript_1.json,10,0.03497195243835449,0.012330953610103093,0.0035888863975140637,0.004939191292028164,0.0058105099506142914,0.005764691793774226,0.0020580812789417723,0.003104135726491795,0.0034631512998600437,0.0035988208190882182,3,0.01330058500397269,0.003576608787689211,0.004744824631604032,0.005317360867141766,0.005526641260518617,5,0.019756267849922397,0.0059157880999346334,0.00817769129139305,0.010564420635426973,0.0110466305097487,2
cbt_mcot_transcript_10.json,10,0.0329283078511556,0.011098405252531775,0.003036522346420155,0.004071956569760685,0.004570957405412622,,,,,,0,0.011098405252531775,0.003036522346420155,0.004071956569760685,0.004570957405412622,0.004740600679310599,10,,,,,,0
cbt_mcot_transcript_11.json,10,0.03292302290598551,0.021864002979370266,0.006554711438106387,0.00911315590242116,0.011525755974299012,,,,,,0,0.021864002979370266,0.006554711438106387,0.00911315590242116,0.011525755974299012,0.012009896725664616,10,,,,,,0
cbt_mcot_transcript_12.json,10,0.05053708950678507,0.0103360032812452,0.004000183445481601,0.00641211572527733,0.007516866380346518,0.01356522761707805,0.006073596476066035,0.01051215527389408,0.012079144973400813,0.012785909751301007,4,0.008183187057356635,0.0026179080917586475,0.0036787560261994988,0.004475347318310323,0.00475353731070407,6,,,,,,0
cbt_mcot_transcript_13.json,10,0.04793518781661987,0.012682324954944044,0.0037813395954500646,0.005160116686706004,0.006262731663062203,0.012445037663998182,0.0038437694822107795,0.005310525054141653,0.0064600031104375625,0.006840641053060057,2,0.012741646777680509,0.0037657321237598855,0.005122514594847092,0.0062134138012183635,0.0065784097144212135,8,,,,,,0
cbt_mcot_transcript_14.json,10,0.0532370408376058,0.0034926118946230745,0.001225678264699969,0.0018114214273875003,0.0021292989430389446,0.0035441540379188034,0.0013272144031291424,0.0020184796979860215,0.0022745055831340493,0.002411880080191638,5,0.004051542058491977,0.0013084213988536653,0.0018555078519356517,0.002290942232378948,0.0024434315055241666,4,0.0009991805226688205,0.0003870250359393165,0.0005997843762022893,0.0007566925852034063,0.0008082330991369827,1
cbt_mcot_transcript_2.json,10,0.04613924026489258,0.013553618912902826,0.00444564973940476,0.006369347403744621,0.007612260983447373,0.020479028663341396,0.007121561117524226,0.01048647672680845,0.012115913387230712,0.012766459334043424,3,0.010585586162714865,0.00329883057735356,0.004604863408145837,0.005682124238968799,0.006009154777530984,7,,,,,,0
cbt_mcot_transcript_3.json,10,0.045157432556152344,0.017374010186403714,0.0055228266456199505,0.007935290082117945,0.010744841551778095,0.02005355591687128,0.006899027234846924,0.010124331550258787,0.013134283990589324,0.013914196153947808,5,0.013794959599879556,0.002993771906701609,0.0036587393269894453,0.005188428859588625,0.005527075958533693,3,0.01604372174002104,0.005875907280930027,0.008877512544458597,0.013105854493034225,0.013998772390942122,2
cbt_mcot_transcript_4.json,10,0.03793895244598389,0.006717781231378438,0.00225525286190307,0.003328838784378446,0.00417934949155503,0.006581732520615204,0.0021368268019941994,0.003048422699198618,0.0033688584839850657,0.00351066986857755,1,0.0066320554207593,0.0021493659172007354,0.003102853879072085,0.003906877470071135,0.004095361352436147,8,0.007539636427094776,0.003220774479430611,0.005417134112009163,0.0071696166709961555,0.007534094342117196,1
cbt_mcot_transcript_5.json,10,0.038000007470448814,0.012615632188990838,0.005186935125789731,0.008852180929483111,0.010280346926377564,0.022736232576673055,0.010546957398798622,0.01919251276674348,0.02141429013120962,0.022326246115456822,3,0.0036387924198383517,0.0009378410988981918,0.001221668354967147,0.001447058264640648,0.0015126513181952003,6,0.036114869640859075,0.014601432468112298,0.023614260864797797,0.029878249282302892,0.031329423376336894,1
cbt_mcot_transcript_6.json,10,0.02602700392405192,0.0158571150240093,0.004620569775793007,0.0064389864126534095,0.007016029972750364,0.009347953974017309,0.0025634019780128394,0.0035780553898874367,0.0038364387380130163,0.003943701920078337,3,0.021659994399573206,0.006390074651710939,0.008901494482489657,0.009723245519362845,0.010000340395118604,6,0.0005673219206018887,0.00017504391362592605,0.0002467310619338363,0.00031151039728752545,0.0003218171851428438,1
cbt_mcot_transcript_7.json,10,0.03163276116053263,0.014664114365332126,0.005274569886291617,0.008045493593661085,0.010259122155722451,0.012844495314093334,0.004319558119705788,0.006322624195145243,0.007907775941382486,0.008223135810307508,4,0.016577659407860903,0.006120611553421343,0.009479037971967013,0.01204526668436338,0.012533627624680587,5,0.012374865357643408,0.004864408616986296,0.007769249296194839,0.010733784369877633,0.011208613871853786,1
cbt_mcot_transcript_8.json,10,0.04245990514755249,0.014985166265397826,0.006592502644002176,0.012038064380943054,0.014051382030870061,0.036222471541285176,0.017874111082516,0.03444477759435234,0.03994887502106248,0.04192958740673725,3,0.006284830207643442,0.0018535136107516474,0.0025548159290825624,0.003070825785924509,0.0032289033628204425,6,0.003475266784262065,0.001181611527963886,0.0017174154518781396,0.002242240529966109,0.002368173672396331,1
cbt_mcot_transcript_9.json,10,0.04169875383377075,0.008312789401786907,0.002649879820577956,0.0037583273711416475,0.004980984988127351,,,,,,0,0.006209429429413855,0.001968017091920554,0.0027810474518817976,0.003416870102351115,0.0035936088637363093,6,0.011467829360346484,0.0036726739135640577,0.005224247250031421,0.007327157316791707,0.007762992080455612,4
